ACCOUNTNO,PARCELNO,SITUS,PROPERTYCITY
M000002,370135300045,"1313 W OHIO AVE, UNIT 8",GUNNISON
M000003,370135300017,321 N 8TH ST,GUNNISON
M000012,378702213005,"315 REED ST, UNIT 15",GUNNISON
M000013,378702200058,"301 S 2ND ST, UNIT 44",GUNNISON
M000014,378702213005,"314 REED ST, UNIT 14",GUNNISON
M000017,378702233001,"700 US HIGHWAY 50, UNIT 7",GUNNISON
M000020,378702213005,"310 REED ST, UNIT 10",GUNNISON
M000021,378702213005,319 S REED ST,GUNNISON
M000022,378702107007,"502 W GUNNISON AVE, UNIT 3",GUNNISON
M000024,378702200058,"301 S 2ND ST, UNIT 62",GUNNISON
M000025,378702213005,"317 REED ST, UNIT 17",GUNNISON
M000027,378702213005,"325 REED ST, UNIT 25",GUNNISON
M000028,378702201010,"1120 W NEW YORK AVE, UNIT 1",GUNNISON
M000030,378702213005,"301 REED ST, UNIT 1",GUNNISON
M000038,370135446003,"220 N BOULEVARD ST, UNIT 1",GUNNISON
M000042,378700000052,COUNTY ROAD 38,GUNNISON
M000043,378702107001,"507 W NEW YORK AVE, UNIT 4",GUNNISON
M000044,351722012002,"95 GEORGE BAILEY DR, UNIT 40",ALMONT
M000045,378702213005,"302 REED ST, UNIT 2",GUNNISON
M000057,378702200058,"301 S 2ND ST, UNIT 3",GUNNISON
M000066,378702233001,700 US HIGHWAY 50,GUNNISON
M000067,370135300045,"1313 W OHIO AVE, UNIT 38",GUNNISON
M000069,370135437002,"118 N 8TH ST, UNIT 2",GUNNISON
M000071,370135300045,"1313 W OHIO AVE, UNIT 15",GUNNISON
M000085,370135430005,"321 N 10TH ST, UNIT 2",GUNNISON
M000086,370135446003,"220 N BOULEVARD ST, UNIT 13",GUNNISON
M000087,378701238010,"404 W RIO GRANDE AVE, UNIT 12",GUNNISON
M000091,378500000018,"28357 US HIGHWAY 50, UNIT 102",BLUE MESA RESERVOIR AREA
M000092,370135300045,"1313 W OHIO AVE, UNIT 30",GUNNISON
